handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa
-1,1,-1,1,1,1,-1,-1,-1,1,0,1,1,1,-1,1
-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,0
0,1,1,0,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1
-1,1,1,-1,0,1,-1,-1,-1,-1,1,-1,1,-1,-1,1
1,1,1,-1,1,1,-1,-1,-1,-1,1,0,1,1,1,1
-1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1
-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,1,1,1
-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,0,1
-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1
1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0,0
-1,1,-1,1,1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1
-1,1,-1,1,1,1,-1,-1,-1,-1,1,0,1,1,0,0
-1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,0,0
1,1,1,-1,-1,1,1,1,0,1,1,0,-1,-1,1,0
-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,0,-1,0
-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,0,-1,0
1,-1,1,-1,-1,1,-1,1,0,1,1,1,0,-1,-1,1
1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1
-1,1,-1,1,1,1,-1,-1,-1,-1,-1,0,1,1,-1,-1
1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1
1,1,1,-1,-1,0,1,1,-1,-1,1,-1,-1,-1,1,1
1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,0,0,1,1
1,0,1,-1,-1,-1,1,1,1,-1,-1,0,-1,-1,1,1
1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1
1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0
1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1
1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1
1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1
1,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,1
1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1
-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,0
1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,1
-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1
1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1
-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
1,0,-1,1,1,1,-1,-1,-1,1,-1,1,0,1,-1,1
1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1
-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1
1,-1,1,-1,-1,-1,1,1,1,1,1,-1,1,-1,1,1
1,1,1,-1,-1,-1,1,1,1,-1,0,-1,-1,-1,-1,0
1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0
1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1
1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1
1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,0
1,1,1,-1,-1,-1,1,1,0,-1,1,-1,-1,-1,1,0
1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1
1,-1,1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,0
1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,1
-1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1
-1,1,-1,1,1,1,-1,0,-1,-1,-1,1,1,1,-1,1
1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0,0
1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1
1,1,1,-1,-1,1,0,1,-1,-1,1,1,-1,1,-1,0
-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1
-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,1
-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1
-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1
-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,0
1,1,1,-1,-1,0,1,1,1,1,-1,-1,-1,-1,1,0
-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0
1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1
1,1,1,-1,-1,-1,1,1,1,-1,1,0,-1,-1,-1,1
1,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1
-1,1,-1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,1
-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1
1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1
1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1
1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,0
1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1
1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,0
1,-1,1,1,1,-1,1,-1,1,1,-1,-1,1,1,-1,1
1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1
-1,1,1,1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1
-1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,0
-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1
1,1,1,-1,1,1,-1,-1,-1,1,1,-1,1,1,-1,1
-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1
1,-1,1,-1,-1,1,1,1,1,1,-1,1,-1,1,-1,0
1,-1,1,-1,-1,-1,1,1,0,1,1,1,-1,1,-1,1
-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1
-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1
-1,-1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,1
-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1
-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
-1,1,1,-1,1,1,1,-1,1,1,1,-1,1,1,-1,1
-1,-1,-1,1,1,1,-1,-1,-1,1,-1,0,1,1,-1,0
1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1
1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1
1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,0,1,1
1,-1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,1,1
1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,1,-1,1,1,-1,0,0,-1,1,0,0,0,1,1
-1,-1,0,-1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1
1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,1,-1,1
1,1,1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,1
-1,-1,-1,1,1,1,-1,-1,-1,1,0,1,1,1,-1,-1
1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,1
1,-1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,1
1,-1,1,-1,1,1,1,-1,0,-1,1,-1,1,1,1,0
1,-1,-1,-1,1,1,0,-1,0,-1,-1,-1,-1,1,0,-1
0,0,0,0,-1,1,1,1,1,1,0,-1,1,1,-1,0
1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,1
-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1
-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0
1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0
-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1
-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1
-1,0,1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,0
-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1
1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0
-1,0,1,-1,0,0,1,1,1,1,0,0,-1,-1,1,1
1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1
1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,-1,1
-1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1
-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
-1,0,0,1,1,1,-1,-1,-1,1,-1,1,1,1,0,1
-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1
-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1
1,0,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,-1,1
-1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1
-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1
-1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
-1,0,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,1
-1,0,1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,1,1
0,0,1,-1,-1,-1,1,1,0,-1,0,0,0,0,0,0
1,0,1,-1,0,0,1,1,1,-1,-1,-1,-1,-1,1,0
-1,-1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1
-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,0
-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1
-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,0
-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1
-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1
-1,0,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1
-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,-1,1
1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1
-1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,1,1,-1,1
-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,0,1
-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,1
0,1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,1
-1,0,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,-1,0
-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,0,1
-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1
-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1
-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,1
-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,1
1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1
1,1,0,1,1,1,-1,-1,1,-1,1,0,1,1,-1,-1
-1,1,1,-1,-1,1,-1,1,1,1,1,-1,1,-1,1,1
-1,-1,1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,1
-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
1,1,-1,1,1,1,-1,0,-1,-1,1,1,1,1,-1,-1
1,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1
-1,1,1,-1,-1,1,-1,1,1,-1,1,-1,0,0,0,0
-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1
-1,1,1,-1,0,1,1,1,1,1,1,-1,-1,0,-1,0
-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1
-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1
-1,1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,1
-1,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1
1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,0
-1,1,1,-1,-1,1,1,1,1,1,1,-1,1,-1,1,0
1,-1,1,1,1,1,1,1,-1,1,-1,1,-1,1,1,1
1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1
-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,0
1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1
1,-1,1,-1,-1,-1,0,1,1,0,-1,-1,-1,-1,1,0
-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1
-1,1,1,-1,-1,-1,1,1,1,1,-1,-1,0,-1,1,1
-1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,1
1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0
-1,1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1
-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1
-1,-1,1,-1,-1,-1,1,1,1,1,1,0,-1,-1,1,1
0,-1,1,-1,-1,-1,1,1,1,1,1,0,-1,-1,1,0
1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1
0,0,1,-1,-1,-1,1,1,1,0,0,-1,-1,-1,0,0
-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1
1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1
1,-1,1,-1,-1,-1,1,1,1,1,-1,0,-1,-1,1,1
-1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1
1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0
1,0,-1,1,1,1,1,1,-1,-1,-1,1,0,1,0,0
1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1
-1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,0
-1,1,-1,1,1,1,-1,0,-1,1,-1,1,1,1,-1,0
-1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,1,1,1
-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1
-1,-1,1,-1,-1,1,1,0,1,1,1,-1,-1,-1,1,1
-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,0
-1,-1,1,-1,-1,1,1,1,1,-1,1,1,-1,1,1,0
-1,0,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1
-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,0,-1,1,0
1,1,-1,-1,-1,-1,1,1,0,-1,1,-1,-1,-1,1,0
-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1
1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1
1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,1,1
1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1
-1,-1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1
-1,-1,1,-1,-1,1,1,1,1,1,-1,1,-1,-1,-1,1
-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1
1,0,-1,1,1,1,1,-1,-1,1,-1,1,1,1,-1,1
-1,-1,1,-1,-1,-1,1,1,1,-1,-1,0,-1,-1,1,1
1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,1
-1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1
-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1
-1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1
